index,pred_class,true_bbox,cam_bboxes,resnet_iou
newfoundland_31,22,"[60.928000000000004, 54.024, 107.072, 132.608]","[46, 59, 131, 124]",0.7734579269266515
pug_57,25,"[84.224, 72.84, 139.776, 113.34400000000001]","[65, 75, 138, 107]",0.7100121426217821
american_bulldog_80,15,"[77.952, 100.616, 89.152, 47.04]","[50, 73, 96, 107]",0.2841592569210275
great_pyrenees_22,15,"[2.24, 67.70400000000001, 213.696, 120.06400000000001]","[18, 68, 114, 97]",0.4309901894790582
havanese_97,16,"[45.696, 43.272, 138.88, 142.016]","[61, 64, 133, 114]",0.677372364616307
staffordshire_bull_terrier_30,34,"[56.64, 22.400000000000002, 75.264, 114.688]","[54, 43, 105, 108]",0.5493559654262805
english_setter_93,13,"[68.096, 34.272, 87.36, 157.248]","[45, 61, 103, 102]",0.5064450075455522
yorkshire_terrier_39,36,"[28.896, 0.0, 166.656, 224.0]","[67, 0, 105, 129]",0.3628357214861751
Persian_98,23,"[29.792, 11.648, 165.76, 209.66400000000002]","[76, 29, 148, 115]",0.36156019637286557
american_bulldog_54,8,"[67.464, 24.64, 94.976, 172.48]","[66, 18, 100, 109]",0.5536389506484259
Sphynx_59,33,"[64.512, 44.504000000000005, 115.584, 155.904]","[59, 56, 113, 97]",0.5619251063000846
Abyssinian_57,0,"[28.896, 0.0, 163.968, 224.0]","[0, 60, 160, 123]",0.40031219093693027
basset_hound_3,3,"[51.072, 19.68, 141.12, 166.208]","[72, 38, 116, 124]",0.6132522961693982
english_setter_34,13,"[55.328, 29.568, 127.232, 194.43200000000002]","[46, 39, 134, 133]",0.6382706693243689
miniature_pinscher_7,21,"[95.2, 70.336, 64.06400000000001, 153.66400000000002]","[81, 79, 97, 108]",0.5162820638774267
British_Shorthair_269,9,"[50.23529411764706, 28.41176470588235, 142.05882352941177, 173.76470588235293]","[35, 19, 122, 112]",0.3997955906488027
keeshond_46,18,"[22.848, 38.448, 199.36, 148.288]","[27, 35, 118, 123]",0.47071549100583904
english_cocker_spaniel_73,12,"[52.864000000000004, 87.136, 94.528, 106.624]","[65, 89, 97, 105]",0.7420017877752185
american_pit_bull_terrier_58,1,"[29.344, 0.0, 158.592, 223.552]","[20, 80, 162, 125]",0.5210591966483127
Sphynx_239,33,"[31.9952, 11.4688, 172.3904, 198.1952]","[45, 29, 120, 140]",0.4917032423248517
miniature_pinscher_52,21,"[13.44, 38.792, 111.104, 146.94400000000002]","[36, 43, 98, 111]",0.5656401803651406
english_cocker_spaniel_50,12,"[2.688, 44.616, 164.416, 141.568]","[64, 65, 138, 107]",0.40844732291530145
leonberger_99,35,"[50.176, 74.632, 113.792, 97.21600000000001]","[54, 68, 124, 98]",0.7630950933044529
British_Shorthair_89,9,"[36.472, 7.168, 168.448, 216.832]","[35, 32, 136, 126]",0.4617365433501248
Birman_62,6,"[70.784, 55.368, 89.60000000000001, 113.34400000000001]","[75, 38, 92, 104]",0.6000815519192332
Ragdoll_45,23,"[56.448, 38.512, 95.424, 126.784]","[59, 62, 95, 101]",0.7617921505061144
english_setter_67,13,"[1.792, 91.344, 164.416, 64.96000000000001]","[58, 79, 132, 98]",0.4237702146324283
japanese_chin_66,17,"[28.64, 38.08, 191.296, 183.232]","[69, 58, 134, 111]",0.4243464429827519
British_Shorthair_70,9,"[42.56, 38.344, 138.43200000000002, 148.288]","[44, 36, 110, 117]",0.6067726238158697
scottish_terrier_28,30,"[85.12, 66.568, 76.608, 97.664]","[81, 61, 100, 92]",0.6581589669840278
scottish_terrier_8,30,"[66.976, 28.672, 91.84, 168.0]","[61, 33, 94, 114]",0.6228737936972825
english_cocker_spaniel_69,12,"[59.44, 10.304, 113.34400000000001, 212.8]","[70, 55, 131, 104]",0.39511752229254465
saint_bernard_48,28,"[11.648, 46.408, 211.45600000000002, 137.984]","[72, 36, 122, 107]",0.38703648556018444
havanese_27,16,"[10.304, 37.0, 203.392, 148.288]","[38, 78, 186, 108]",0.6003490667408407
shiba_inu_8,31,"[76.608, 51.24, 116.032, 122.75200000000001]","[64, 61, 109, 107]",0.6614803154128481
Siamese_240,6,"[0.0, 31.733333333333334, 218.02666666666667, 164.26666666666668]","[67, 55, 157, 127]",0.5244393406228466
miniature_pinscher_88,21,"[57.263999999999996, 77.056, 98.56, 131.712]","[45, 72, 101, 105]",0.6025743083094411
pomeranian_74,24,"[39.872, 52.232, 112.896, 133.504]","[65, 41, 114, 106]",0.44152194578250087
miniature_pinscher_76,8,"[103.936, 85.384, 87.36, 73.92]","[119, 82, 105, 97]",0.4729924958172969
leonberger_2,19,"[67.2, 41.480000000000004, 156.8, 145.15200000000002]","[64, 36, 118, 125]",0.5767763248073758
Persian_265,23,"[3.214092140921409, 29.745257452574524, 213.0731707317073, 177.25745257452573]","[37, 42, 161, 140]",0.5967887661354058
Siamese_73,32,"[66.568, 16.576, 84.672, 199.808]","[78, 0, 85, 127]",0.4120850825155552
